temperature,load,vibration,humidity,age,failure
76.9,59.0,2.37,66.9,5.5,0
86.2,49.2,0.4,46.3,16.2,0
37.0,49.6,1.7,34.8,9.5,0
29.5,48.2,1.3,66.5,2.3,0
47.3,70.3,0.4,91.4,29.0,0
85.1,68.4,1.04,33.5,15.4,0
82.8,35.1,0.67,61.4,16.9,0
83.9,39.8,0.57,83.0,11.3,0
74.2,23.2,0.4,81.2,3.2,0
84.0,81.7,0.4,50.1,4.4,0
74.0,83.5,0.72,29.4,10.0,0
51.8,80.4,1.15,33.4,21.7,0
74.5,95.8,2.65,59.6,16.2,0
66.9,30.8,1.28,88.5,8.2,0
94.6,50.6,0.47,30.4,9.4,0
88.8,67.7,0.4,87.5,16.6,0
55.4,54.8,0.47,54.9,24.7,0
74.2,53.3,0.74,91.0,10.4,0
102.0,65.8,0.81,93.0,28.9,1
37.9,38.4,0.4,67.7,15.6,0
64.5,68.6,0.4,59.3,29.6,0
47.3,44.9,2.34,50.7,19.3,0
78.6,110.2,0.4,83.5,10.3,1
83.7,62.2,0.46,70.2,6.1,0
51.5,96.1,4.97,34.6,10.9,1
78.0,85.0,1.46,62.1,8.0,0
72.7,79.2,0.75,49.4,22.1,0
89.9,67.0,0.4,32.1,20.2,0
101.6,72.4,1.9,40.7,21.7,1
47.7,78.9,3.41,71.0,17.5,0
63.6,45.4,0.55,42.1,29.2,0
63.7,88.6,1.26,65.4,15.3,0
79.3,43.1,0.59,26.7,19.7,0
81.3,52.0,0.88,84.6,10.2,0
71.9,34.6,4.95,73.7,17.5,0
53.4,85.3,2.43,73.8,21.4,0
43.2,41.4,2.98,81.7,26.1,0
83.7,93.6,1.89,74.1,24.1,1
62.3,78.7,0.85,31.6,17.8,0
58.4,22.7,1.61,27.1,2.1,0
59.5,86.0,0.4,61.6,23.3,0
45.1,114.6,1.83,75.8,29.3,1
31.5,66.1,2.85,44.0,13.7,0
97.9,54.6,0.52,63.4,21.7,1
45.3,82.2,5.58,76.7,17.1,0
101.2,45.9,2.55,26.0,4.4,0
76.0,79.0,1.16,31.8,15.3,0
66.1,18.1,1.72,69.5,2.3,0
93.9,30.4,1.26,85.0,20.1,1
69.1,76.2,1.54,52.2,19.7,0
106.4,19.1,5.11,52.0,28.9,1
71.7,81.5,0.4,82.0,9.2,0
74.4,46.8,1.78,86.4,22.3,0
83.8,74.1,2.96,94.3,13.0,0
91.0,49.0,0.75,90.2,25.9,1
60.1,53.0,4.19,60.4,25.0,0
80.3,55.2,0.89,25.8,27.3,0
57.0,104.1,1.07,45.5,10.5,0
88.8,79.4,2.82,80.3,3.6,0
67.8,16.0,3.94,49.6,4.4,0
75.4,49.6,1.73,32.1,3.4,0
71.7,74.3,0.4,30.9,29.6,0
41.9,31.0,3.02,91.3,29.6,0
92.5,17.2,4.26,32.8,15.3,1
67.7,55.6,0.4,33.3,4.4,0
81.9,72.8,0.85,45.0,26.2,0
72.0,62.3,0.4,63.8,29.1,0
75.3,52.5,1.78,65.9,27.1,0
107.4,44.2,0.58,38.2,14.4,1
35.4,19.9,3.03,72.9,5.7,0
44.2,102.3,4.86,85.6,2.3,1
62.9,68.5,0.86,92.9,25.4,0
65.9,89.2,0.96,44.1,2.6,0
73.4,95.4,5.21,84.5,8.2,1
48.8,58.9,5.54,67.4,7.6,0
95.7,43.8,2.0,61.4,23.4,1
89.2,63.5,1.44,64.3,26.4,0
63.2,94.8,0.43,34.5,1.4,0
87.1,23.3,0.9,55.6,27.2,0
28.9,51.3,1.75,85.4,28.5,0
37.3,60.8,1.11,93.6,15.3,0
42.1,59.3,0.4,34.0,5.4,0
74.6,41.3,0.4,49.2,27.0,0
62.3,52.2,0.4,36.8,9.1,0
66.1,39.2,0.42,50.5,15.6,0
68.8,73.3,0.4,86.2,27.7,0
66.0,57.1,2.95,77.4,6.4,0
45.9,114.2,0.83,57.4,22.7,1
78.4,68.8,1.29,62.2,4.1,0
25.0,44.2,0.85,26.4,10.3,0
56.4,38.2,0.4,87.3,18.2,0
79.8,42.8,1.39,66.1,22.6,0
49.3,57.8,0.6,50.4,19.7,0
84.9,62.6,0.49,32.1,5.4,0
56.3,51.3,0.4,45.0,6.0,0
80.3,70.6,3.61,82.2,8.5,0
77.0,40.5,4.77,64.0,17.6,0
54.3,49.6,1.0,60.5,8.0,0
72.7,42.1,0.61,65.7,5.5,0
39.0,58.7,0.4,29.4,29.7,0
86.1,49.3,0.53,72.7,23.0,0
111.8,23.1,4.77,83.1,29.0,1
74.7,48.7,5.02,37.7,2.9,0
96.4,59.4,2.85,39.1,5.7,1
75.1,52.7,1.97,61.6,11.4,0
85.1,56.5,0.85,57.4,9.7,0
68.3,98.9,0.48,88.0,12.1,0
69.7,42.5,5.06,68.9,10.7,0
74.1,52.9,1.74,62.3,26.9,0
75.3,38.0,2.45,27.3,17.5,0
76.6,69.3,0.75,82.5,4.2,0
60.0,52.6,2.31,75.4,19.6,0
75.4,103.3,0.52,49.2,6.3,0
83.0,42.4,5.3,35.7,18.0,0
112.0,64.8,0.4,86.0,28.0,1
78.6,66.8,0.4,65.3,18.6,0
96.7,50.8,4.9,89.8,14.1,1
77.4,49.1,0.73,81.2,1.1,0
49.8,25.6,1.39,89.4,11.0,0
53.3,28.9,1.08,34.9,6.1,0
25.0,60.8,4.43,50.4,17.8,0
77.3,44.4,7.5,60.2,18.3,1
68.3,61.5,0.42,87.9,6.9,0
48.1,92.5,1.05,53.1,17.2,0
61.8,53.8,3.56,91.2,11.8,0
44.1,54.0,0.4,75.1,20.1,0
81.0,37.2,0.4,32.3,24.2,0
49.0,54.3,0.5,75.6,25.8,0
61.5,87.5,1.99,39.3,9.5,0
99.8,34.7,0.86,66.3,8.8,0
45.0,100.6,1.45,55.5,9.5,0
67.4,54.6,0.4,43.8,16.7,0
43.7,78.4,0.4,83.4,29.5,0
69.8,26.1,1.45,70.6,25.1,0
72.6,83.6,1.65,71.6,6.1,0
82.5,70.4,0.4,36.6,22.4,0
71.4,45.4,0.51,52.3,9.4,0
52.1,74.6,1.16,71.5,28.2,0
52.5,77.4,0.4,43.4,18.3,0
56.1,24.8,2.65,32.5,3.2,0
67.4,101.0,2.1,55.4,8.1,0
77.6,38.1,1.61,50.3,3.7,0
66.7,75.7,0.4,62.9,26.3,0
79.1,90.3,3.41,42.5,15.2,1
75.7,66.6,0.4,64.8,27.5,0
64.2,86.8,3.35,47.3,25.0,0
69.7,51.8,0.47,33.4,3.2,0
91.0,56.3,0.68,62.8,23.9,0
86.6,29.3,3.91,68.1,7.8,0
68.8,88.9,0.93,58.6,19.2,0
60.0,94.0,0.98,76.6,7.9,0
53.5,39.9,0.48,27.9,1.5,0
67.4,67.2,0.87,72.6,7.3,0
53.1,112.8,0.4,94.4,7.7,1
71.0,72.8,1.68,60.9,7.7,0
57.2,74.2,0.78,29.0,29.1,0
93.6,49.4,2.14,35.8,24.7,0
55.3,113.9,1.56,31.4,26.4,1
57.0,53.5,3.95,91.9,26.0,0
87.5,43.3,0.95,51.1,8.5,0
67.4,101.5,0.4,40.4,20.8,0
52.3,88.5,0.77,72.5,17.4,0
78.5,54.1,2.87,71.1,25.7,0
80.9,73.1,2.05,68.3,22.8,0
65.0,65.2,0.73,77.0,5.7,0
75.2,57.0,0.61,68.2,29.5,0
43.5,78.4,1.81,62.8,23.6,0
60.8,73.8,0.75,69.3,28.0,0
60.0,66.3,0.64,74.6,3.0,0
85.4,51.4,3.69,93.1,29.1,0
57.9,70.3,2.56,26.7,1.6,0
31.4,78.1,1.06,44.2,29.9,0
41.9,15.0,0.4,80.6,21.1,0
91.6,57.1,5.18,54.4,19.5,1
40.5,46.8,7.44,53.7,26.9,1
56.0,63.6,0.83,85.5,14.7,0
74.2,72.0,2.65,84.1,23.1,0
73.8,89.5,1.18,33.2,4.6,0
55.8,101.6,0.4,59.4,2.9,0
78.2,48.0,1.09,25.8,3.1,0
59.9,15.0,1.65,45.4,21.2,0
76.6,61.5,0.4,41.9,29.6,0
67.9,36.5,1.73,74.2,17.2,0
68.7,56.1,0.4,52.8,4.8,0
100.4,76.1,2.9,39.0,5.9,1
53.6,101.9,3.69,75.0,24.3,1
86.9,50.2,0.4,87.6,16.9,0
91.7,70.8,2.37,30.7,2.8,1
56.3,51.4,3.7,40.3,29.3,0
58.5,75.6,1.24,63.9,21.9,0
68.7,64.6,0.4,72.6,3.1,0
66.0,82.5,1.0,49.2,11.8,0
72.0,85.0,1.04,75.8,15.1,0
57.7,79.6,0.43,68.6,19.3,0
56.7,70.7,2.26,88.6,6.2,0
62.8,25.7,3.68,56.2,15.9,0
88.7,23.7,0.4,52.4,29.1,0
45.6,86.4,0.4,92.9,14.2,0
69.4,33.8,0.74,83.0,13.5,0
42.9,43.6,0.4,27.6,22.4,0
62.2,107.7,3.35,81.4,18.0,1
74.8,54.8,0.4,62.2,28.2,0
81.2,60.2,0.68,60.5,2.2,0
76.1,59.1,1.3,59.2,20.3,0
87.9,39.1,0.41,72.1,29.1,0
56.3,85.6,0.4,73.5,25.3,0
70.7,70.0,1.24,68.2,26.2,0
69.2,66.3,2.03,40.1,20.1,0
97.4,36.8,0.4,71.0,30.0,1
63.5,69.5,2.41,86.5,12.7,0
89.4,35.0,2.97,78.4,24.1,0
63.3,64.7,0.4,47.7,11.6,0
96.7,43.4,0.89,56.4,7.9,0
57.2,65.7,1.99,68.4,14.4,0
85.7,54.9,1.32,58.5,1.7,0
40.4,93.8,1.37,67.6,23.2,0
78.7,80.8,5.6,26.3,6.7,1
75.1,57.8,0.4,59.0,8.4,0
50.2,37.7,2.92,62.7,10.0,0
81.9,48.7,0.4,37.7,20.8,0
69.9,32.7,2.22,32.5,17.5,0
66.6,49.3,1.81,91.6,18.4,0
68.9,62.9,0.47,39.8,18.7,0
62.6,55.9,0.49,79.6,9.0,0
62.7,89.5,1.98,31.7,19.1,0
45.7,73.5,3.58,40.2,3.8,0
68.8,58.8,1.68,63.3,7.7,0
37.7,68.9,0.4,73.7,12.7,0
98.2,49.8,2.12,94.4,4.7,1
58.4,26.3,0.4,31.0,26.9,0
57.5,39.7,0.46,49.8,3.0,0
68.6,48.3,1.4,86.6,19.9,0
32.1,70.2,0.73,71.9,29.8,0
103.0,56.3,0.4,64.4,28.8,1
77.7,41.7,0.4,62.5,3.8,0
62.5,90.9,2.86,89.9,7.8,0
48.3,55.0,7.5,89.9,16.7,1
90.1,45.5,2.53,33.9,25.0,0
80.7,83.0,0.4,46.2,8.6,0
63.7,63.9,0.66,52.8,14.0,0
75.0,116.8,4.53,59.8,29.8,1
76.4,52.4,3.79,85.8,24.4,0
56.0,83.8,0.4,53.2,6.0,0
91.6,63.1,3.11,34.3,26.0,1
67.5,80.0,1.68,78.5,6.1,0
69.2,53.8,0.4,26.8,4.9,0
69.0,73.7,6.08,55.3,10.0,0
73.3,68.2,0.44,68.4,19.9,0
64.2,94.8,0.4,94.6,2.7,0
60.6,53.9,0.4,73.5,2.8,0
70.9,62.1,3.03,68.1,9.9,0
109.2,39.0,3.92,56.5,6.6,1
46.9,22.4,3.16,76.4,23.3,0
64.9,53.4,0.54,78.2,5.0,0
41.4,66.0,0.4,41.9,29.3,0
67.4,18.9,3.35,31.9,15.2,0
60.0,42.5,2.41,58.3,11.9,0
27.0,68.3,5.6,80.1,10.1,0
57.1,102.2,0.53,83.9,2.1,0
84.6,93.0,4.06,69.6,18.8,1
68.6,45.4,0.4,76.6,15.9,0
69.6,67.2,0.4,30.0,1.4,0
43.8,40.6,0.77,79.2,20.2,0
60.2,68.2,2.6,43.6,1.6,0
85.9,45.4,1.76,51.7,7.0,0
51.3,76.1,1.36,27.9,29.1,0
56.4,82.4,7.04,67.1,17.9,1
78.7,43.2,0.74,90.0,7.5,0
49.2,18.7,1.04,67.9,28.3,0
62.0,66.6,1.87,45.0,24.7,0
65.0,68.2,2.53,57.2,25.4,0
81.2,39.1,1.42,93.9,28.2,0
75.2,47.7,3.06,39.9,15.7,0
81.0,112.6,1.28,45.8,17.4,1
81.6,70.4,1.82,78.3,5.6,0
67.6,80.2,7.5,31.9,12.6,1
57.6,74.9,1.46,76.3,18.9,0
48.0,68.1,0.4,78.3,2.0,0
53.9,76.3,5.71,50.8,10.5,0
53.2,44.0,2.3,87.0,18.2,0
42.5,23.3,2.14,25.2,19.0,0
57.7,66.0,1.18,70.0,2.9,0
95.8,106.1,1.48,67.2,20.6,1
82.9,61.8,0.4,29.1,10.7,0
80.5,83.0,2.8,61.2,13.8,0
52.1,43.4,0.45,66.9,22.3,0
49.6,102.8,1.82,80.0,4.4,0
62.5,88.4,1.6,37.9,11.5,0
70.5,23.1,0.64,90.8,8.5,0
64.5,53.9,2.92,57.1,15.0,0
67.5,101.0,1.03,76.1,23.2,0
48.2,70.7,1.93,92.0,3.0,0
66.2,57.5,0.55,42.3,27.3,0
51.4,55.3,2.7,29.6,15.1,0
25.0,81.4,0.77,88.0,1.6,0
69.6,77.5,0.4,54.3,8.5,0
82.3,34.4,0.4,64.6,14.5,0
74.3,44.2,0.4,40.8,8.3,0
71.6,87.3,1.33,33.0,25.9,0
70.7,70.3,0.4,57.1,15.1,0
75.9,81.9,1.12,53.8,19.9,0
69.3,92.7,1.11,28.6,23.8,0
56.4,44.4,0.4,48.1,22.9,0
69.7,54.1,1.08,93.9,23.4,0
83.9,60.3,1.39,59.8,4.1,0
77.1,90.8,6.01,39.3,16.2,1
84.5,47.3,1.55,69.4,24.1,0
64.5,35.2,2.14,80.5,10.2,0
62.0,53.1,0.4,87.6,20.0,0
47.1,45.8,3.85,81.3,15.7,0
66.6,72.0,7.46,71.8,19.4,1
63.4,62.7,1.35,75.4,26.8,0
71.5,54.2,0.4,85.1,24.8,0
74.3,55.3,3.1,57.1,11.4,0
91.3,61.5,0.73,37.2,21.6,0
60.6,47.4,2.49,70.6,19.0,0
86.0,52.5,1.15,93.5,19.4,0
53.8,88.3,0.4,37.2,25.8,0
78.6,51.6,0.59,70.0,21.1,0
70.3,84.6,5.01,86.0,23.2,0
79.4,86.4,0.54,88.5,20.5,0
70.7,24.5,3.6,63.3,12.0,0
58.4,60.0,2.42,89.3,9.1,0
81.5,66.3,2.94,26.3,28.9,0
51.2,85.9,3.18,44.7,26.3,0
56.4,42.0,0.5,25.9,14.6,0
82.4,26.4,0.63,46.0,22.6,0
84.2,81.9,0.4,30.5,7.9,0
69.3,87.6,0.4,83.2,18.4,0
79.6,76.4,1.01,47.2,13.6,0
77.2,92.2,4.01,56.0,18.6,1
99.5,39.7,1.29,32.3,12.2,1
107.1,58.1,5.41,67.0,22.6,1
69.9,59.7,0.81,58.1,2.3,0
60.3,46.8,6.41,48.2,15.0,1
45.7,42.3,1.31,25.4,1.2,0
62.4,45.5,2.92,65.0,15.9,0
64.8,44.9,1.73,33.0,11.0,0
87.4,62.5,1.22,74.2,29.8,0
56.2,31.7,0.95,88.5,21.7,0
39.5,81.7,3.12,91.9,24.8,0
56.9,46.4,0.87,56.9,11.7,0
64.2,40.3,2.5,30.0,3.3,0
65.0,89.0,0.81,66.6,1.3,0
80.7,67.1,1.71,86.2,22.0,0
54.6,24.7,1.2,65.4,2.3,0
70.9,39.4,0.76,76.0,19.9,0
83.2,102.5,0.58,46.4,23.9,1
93.1,56.5,3.11,85.0,27.6,1
55.5,21.6,1.65,74.4,21.0,0
48.4,53.0,1.01,35.0,26.8,0
60.3,63.1,1.82,48.8,3.1,0
37.7,44.3,2.03,67.4,11.6,0
59.7,61.0,0.4,60.4,29.0,0
60.1,59.6,0.4,52.2,5.6,0
61.6,59.9,3.95,67.2,25.0,0
66.1,71.8,0.88,48.8,16.7,0
46.8,96.6,3.23,55.8,9.8,0
53.8,48.3,0.4,49.0,8.8,0
76.9,83.2,0.4,56.1,19.2,0
25.0,55.7,7.5,86.6,19.1,1
88.3,52.1,0.4,58.3,16.7,0
72.6,72.3,1.37,85.9,4.8,0
73.0,47.4,3.77,91.1,5.3,0
74.8,61.4,1.19,85.4,18.1,0
52.8,76.1,0.88,60.8,15.3,0
87.0,66.9,7.11,53.5,25.0,1
94.9,87.6,4.02,29.4,26.6,1
78.7,15.0,1.77,89.8,1.6,0
63.7,82.9,0.4,46.0,11.4,0
56.7,81.0,0.43,92.0,1.3,0
83.4,73.3,0.4,77.7,23.3,0
89.4,77.6,3.37,68.0,3.6,0
67.6,25.9,0.4,49.4,4.2,0
33.9,66.7,0.4,60.0,24.0,0
69.5,58.4,0.63,41.3,9.1,0
82.9,57.7,0.7,58.4,7.6,0
68.4,25.6,1.88,33.6,26.8,0
25.0,66.0,1.59,68.7,3.1,0
82.1,80.6,2.93,63.7,16.1,0
75.1,50.8,0.57,59.8,9.2,0
50.9,48.2,0.58,74.5,2.8,0
82.9,42.9,0.68,32.1,11.4,0
59.2,84.6,4.0,55.4,27.4,0
75.0,59.7,0.4,73.1,15.3,0
44.1,73.5,1.98,92.6,23.1,0
69.6,66.3,0.64,32.4,23.7,0
70.5,71.0,1.25,55.3,14.3,0
58.1,35.1,0.83,28.7,23.3,0
62.2,53.3,1.93,58.1,26.5,0
80.1,38.4,1.68,45.7,5.0,0
82.6,85.7,0.9,74.9,6.8,0
62.1,75.3,0.83,29.1,4.2,0
70.1,28.4,0.4,33.7,13.0,0
25.0,57.8,1.36,66.7,1.3,0
67.2,106.4,0.67,79.2,23.4,1
75.9,62.4,0.4,26.2,23.3,0
71.5,83.6,1.31,49.4,11.8,0
71.0,63.1,3.38,26.7,27.1,0
80.2,15.0,0.65,29.6,7.6,0
66.1,25.8,2.48,58.2,2.7,0
68.9,57.5,0.46,38.7,5.1,0
91.1,74.3,1.55,35.3,24.5,0
96.4,36.3,0.76,89.2,9.4,1
85.8,60.3,2.21,29.4,5.3,0
65.2,62.8,0.5,60.0,20.7,0
64.6,54.1,2.96,57.2,16.9,0
66.5,57.6,0.42,28.5,25.5,0
60.3,74.9,5.82,38.8,28.6,1
74.0,52.7,1.62,30.1,19.0,0
75.7,62.4,2.55,36.3,14.8,0
83.0,92.6,0.4,64.6,23.4,1
62.4,62.0,0.4,50.0,27.9,0
45.2,46.7,3.39,76.0,3.8,0
60.1,60.5,1.18,71.4,4.4,0
39.8,32.4,2.53,89.3,28.6,0
34.4,84.2,2.79,42.6,17.4,0
45.6,46.4,4.51,32.1,15.7,0
60.7,77.1,5.41,65.7,13.7,0
115.4,44.3,0.78,87.6,28.4,1
64.6,82.3,2.73,58.3,15.4,0
44.1,49.9,3.48,39.5,3.1,0
25.0,66.4,3.0,83.5,10.6,0
81.3,41.1,3.76,62.7,9.2,0
58.9,60.2,0.4,78.6,1.0,0
25.0,45.9,0.65,41.1,1.0,0
80.2,36.7,2.44,84.4,13.3,0
46.4,81.0,0.4,51.0,27.2,0
57.2,93.3,1.61,71.3,3.3,0
74.9,72.6,1.58,91.7,2.2,0
79.7,28.9,0.63,75.0,23.0,0
50.8,15.0,4.86,82.9,21.2,0
62.2,101.5,4.57,73.6,22.1,1
80.2,50.2,0.76,48.5,29.4,0
75.9,79.1,2.34,64.3,28.5,0
66.7,72.0,2.39,51.9,1.7,0
40.7,54.1,2.2,82.2,16.8,0
68.7,56.8,2.9,63.7,12.5,0
59.4,43.0,0.62,86.0,20.5,0
81.9,86.5,3.22,88.4,1.4,1
61.4,65.2,1.43,45.1,9.9,0
40.7,88.8,0.93,29.8,23.7,0
58.4,24.4,2.08,48.3,2.6,0
65.2,92.5,1.8,38.9,13.1,0
60.6,67.7,0.59,44.3,13.5,0
69.4,95.3,2.19,54.6,11.0,0
41.1,47.7,0.41,58.8,8.8,0
44.9,63.9,0.4,30.3,28.6,0
58.2,56.0,1.65,68.7,19.8,0
86.2,27.4,0.57,66.8,26.1,0
77.9,69.5,0.41,66.1,21.3,0
98.5,63.0,0.53,56.5,28.8,1
88.2,54.7,0.4,72.1,29.3,0
65.5,69.0,1.02,43.1,13.6,0
99.5,92.4,1.83,41.9,21.7,1
78.2,46.6,0.51,29.4,14.3,0
80.3,94.7,2.01,30.7,28.6,1
76.1,31.2,1.73,77.0,22.4,0
54.3,62.8,0.83,89.5,17.9,0
73.1,79.8,1.98,80.1,14.2,0
43.9,77.2,2.2,54.9,13.8,0
71.3,51.5,0.4,46.1,15.6,0
67.8,46.8,4.71,32.4,23.2,0
49.7,46.6,0.4,29.9,6.4,0
82.2,69.5,3.03,73.0,4.2,0
47.9,64.2,1.38,50.0,11.3,0
76.7,74.0,0.66,89.0,28.6,0
43.5,77.6,3.76,32.2,12.4,0
71.2,120.0,0.4,85.1,20.6,1
71.0,53.4,1.7,36.2,20.5,0
78.0,41.8,0.47,33.2,5.8,0
99.4,55.8,0.79,32.4,7.4,1
111.7,71.5,0.51,29.0,12.3,1
55.4,64.5,1.47,54.1,13.4,0
101.7,70.6,2.18,37.0,15.5,1
63.7,74.1,0.4,67.4,4.4,0
51.9,53.0,2.12,39.4,12.4,0
71.2,15.0,0.4,80.5,3.0,0
115.2,37.5,1.78,73.2,8.3,1
70.4,70.0,1.19,48.4,24.0,0
